ID,AGE,BodyMassIndex,Education,Profession,AnnualIncome,InsuranceAwareness
9808,3,4,3,8,6,2
9809,4,3,5,9,3,6
9810,1,3,3,2,5,4
9811,3,5,3,2,5,7
9812,3,4,2,7,5,8
9813,1,1,2,5,3,9
9814,2,3,3,1,3,5
9815,5,1,7,1,5,6
9816,1,4,4,8,4,3
9817,2,2,6,1,5,5
9818,1,3,4,8,3,6
9819,4,1,6,3,1,2
9820,5,2,7,7,5,6
9821,5,2,4,5,5,7
9822,5,1,6,7,1,1
9823,3,5,7,10,1,7
9824,5,5,6,3,3,5
9825,1,2,3,1,6,4
9826,3,3,6,5,2,6
9827,4,1,6,4,2,8
9828,3,5,3,4,6,1
9829,4,4,3,4,4,9
9830,3,1,4,3,2,10
9831,1,2,3,6,5,2
9832,1,2,6,7,1,8
9833,3,1,4,3,6,4
9834,2,4,1,8,6,9
9835,1,4,3,1,3,2
9836,1,2,6,7,3,6
9837,3,1,2,2,5,3
9838,5,1,2,8,1,1
9839,2,1,5,2,3,10
9840,5,3,7,4,5,3
9841,3,3,5,8,4,8
9842,1,4,3,9,1,9
9843,1,1,5,6,4,3
9844,3,3,6,1,5,7
9845,4,1,4,2,3,8
9846,2,2,7,2,1,4
9847,3,3,7,1,2,5
9848,2,4,7,5,4,6
9849,4,2,6,10,3,1
9850,5,4,3,1,3,5
9851,1,1,2,2,3,10
9852,2,3,1,4,3,10
9853,4,5,5,6,4,9
9854,2,3,1,6,1,7
9855,3,2,2,4,6,1
9856,4,4,4,8,2,7
9857,4,5,7,9,2,2
9858,4,3,2,6,5,3
9859,4,3,6,8,1,6
9860,5,2,3,3,4,8
9861,5,3,4,2,4,4
9862,2,5,2,3,5,5
9863,1,1,5,8,4,5
9864,4,5,2,7,1,7
9865,4,3,3,2,5,3
9866,3,1,6,7,4,5
9867,2,5,6,3,5,10
9868,4,5,5,7,1,10
9869,2,3,5,8,3,2
9870,4,3,5,4,5,5
9871,1,1,3,5,6,8
9872,5,2,7,6,3,4
9873,2,5,1,7,3,6
9874,3,5,7,4,5,7
9875,3,1,3,3,3,4
9876,4,4,2,6,5,9
9877,4,3,2,7,1,5
9878,3,2,4,9,2,5
9879,5,3,1,1,4,1
9880,3,4,6,5,6,7
9881,5,5,3,7,6,7
9882,5,1,4,1,5,9
9883,1,5,5,6,5,1
9884,4,4,5,6,2,2
9885,4,2,4,8,1,7
9886,1,2,1,10,6,4
9887,4,3,4,6,3,9
9888,4,1,3,6,2,5
9889,2,1,2,1,5,7
9890,4,4,4,7,6,8
9891,4,5,7,4,3,10
9892,5,3,2,5,2,3
9893,2,2,4,2,1,9
9894,5,4,6,10,5,5
9895,4,1,7,7,6,1
9896,5,4,3,3,3,1
9897,2,2,4,9,6,6
9898,1,1,7,2,5,4
9899,2,5,5,8,5,10
9900,1,5,4,2,1,2
9901,1,1,3,1,3,7
9902,2,4,5,2,3,5
9903,2,2,1,10,5,8
9904,3,4,2,3,6,1
9905,3,4,1,9,2,8
9906,4,3,1,5,4,5
9907,5,4,1,7,6,6
9908,4,1,6,2,4,1
9909,2,4,5,6,3,8
9910,4,5,2,8,3,8
9911,5,2,2,6,5,3
9912,1,1,3,10,3,10
9913,3,5,5,6,4,5
9914,1,1,1,5,6,8
9915,2,5,2,2,2,10
9916,2,5,7,9,5,1
9917,3,1,3,7,6,7
9918,5,2,5,1,2,8
9919,1,5,5,2,1,3
9920,5,2,5,4,2,2
9921,4,1,4,5,6,9
9922,3,2,1,10,2,1
9923,3,5,6,6,3,5
9924,1,3,2,3,1,4
9925,5,2,7,8,1,3
9926,4,1,7,6,2,8
9927,5,2,5,3,3,5
9928,4,2,4,5,1,2
9929,3,5,3,6,1,4
9930,2,4,7,8,4,5
9931,3,2,4,1,2,1
9932,5,2,7,5,5,4
9933,2,2,3,4,5,5
9934,2,4,5,4,5,2
9935,2,5,3,9,4,10
9936,5,3,5,4,6,10
9937,2,1,6,1,4,1
9938,2,1,3,7,4,6
9939,1,5,7,7,6,4
9940,5,3,3,9,5,9
9941,2,1,4,5,4,1
9942,3,4,4,5,5,2
9943,2,3,4,8,5,3
9944,2,2,5,5,3,4
9945,1,5,2,9,5,9
9946,5,3,3,3,2,2
9947,5,2,7,8,5,2
9948,5,2,7,10,4,1
9949,3,5,4,1,2,4
9950,5,1,2,10,5,9
9951,5,5,1,5,1,4
9952,4,3,6,2,1,5
9953,4,2,3,6,4,2
9954,2,4,5,6,3,4
9955,1,3,1,3,4,4
9956,2,5,3,10,1,10
9957,3,4,2,2,5,8
9958,5,5,6,7,3,8
9959,2,2,7,4,2,4
9960,3,4,1,9,6,1
9961,5,2,4,10,6,1
9962,3,3,4,4,3,5
9963,4,3,1,8,5,6
9964,5,4,7,5,3,10
9965,5,1,5,10,4,7
9966,5,5,1,10,1,6
9967,1,4,6,5,4,10
9968,1,1,7,2,3,6
9969,2,4,3,3,2,1
9970,1,2,6,7,3,7
9971,4,5,7,4,3,1
9972,4,2,3,6,1,8
9973,2,3,6,8,4,4
9974,4,4,2,3,1,9
9975,2,1,1,5,2,3
9976,1,2,2,2,1,6
9977,3,2,5,3,3,3
9978,1,2,2,5,5,1
9979,5,4,1,9,6,1
9980,4,5,7,4,4,4
9981,4,5,4,8,1,3
9982,5,3,2,5,5,10
9983,2,2,7,7,5,7
9984,5,2,5,9,4,4
9985,1,4,7,5,3,9
9986,2,3,2,2,5,6
9987,3,3,7,8,2,9
9988,2,3,4,9,1,7
9989,1,3,1,3,1,5
9990,2,2,1,6,3,2
9991,5,1,3,7,3,5
9992,1,2,2,3,1,8
9993,2,2,2,3,3,1
9994,5,4,7,1,3,3
9995,1,1,2,2,3,6
9996,4,3,7,2,6,7
9997,4,5,2,10,4,8
9998,3,5,5,8,1,7
9999,4,5,7,4,3,5
10000,2,1,7,7,4,3
10001,5,5,5,1,1,4
10002,1,2,3,9,6,9
10003,1,4,2,8,3,6
10004,3,5,1,5,4,7
10005,3,3,1,9,3,5
10006,4,5,5,3,4,9
10007,3,4,3,7,2,6
10008,4,3,6,3,5,8
10009,2,2,5,4,2,6
10010,3,2,2,5,5,9
10011,5,4,1,5,1,9
10012,4,2,6,10,6,9
10013,5,1,5,3,1,7
10014,4,1,4,2,3,9
10015,1,4,4,1,1,8
10016,3,5,1,4,3,10
10017,3,3,1,3,4,8
10018,3,1,6,10,2,3
10019,2,2,4,2,1,5
10020,4,4,4,9,4,4
10021,4,4,7,5,4,6
10022,4,1,4,4,5,6
10023,1,3,3,6,6,7
10024,5,1,5,6,1,4
10025,4,1,5,8,4,9
10026,4,3,2,8,4,10
10027,4,3,4,5,6,4
10028,1,5,3,7,1,7
10029,4,1,7,9,5,1
10030,5,2,4,9,2,1
10031,4,5,5,5,5,2
10032,1,3,2,10,1,8
10033,5,3,4,6,1,8
10034,1,4,7,3,6,4
10035,2,2,6,8,6,9
10036,3,3,6,10,5,1
10037,1,4,3,10,5,8
10038,4,3,6,7,6,5
10039,1,2,2,4,3,1
10040,4,4,5,3,4,3
10041,3,2,2,10,1,9
10042,4,2,3,4,1,3
10043,5,4,6,9,1,3
10044,5,5,3,10,5,8
10045,5,4,1,4,3,7
10046,3,2,6,8,2,8
10047,3,1,4,9,1,6
10048,1,4,5,10,4,1
10049,4,5,6,10,1,5
10050,4,3,4,9,4,4
10051,1,5,6,2,5,6
10052,1,1,4,1,4,3
10053,1,5,5,4,5,5
10054,3,2,7,10,2,6
10055,2,3,3,10,1,2
10056,5,4,6,10,6,8
10057,3,1,3,9,5,1
10058,4,3,3,4,2,1
10059,2,1,5,3,4,3
10060,1,4,2,9,2,7
10061,3,2,3,3,2,8
10062,5,1,6,7,2,5
10063,3,1,6,9,4,3
10064,4,4,5,9,1,7
10065,4,3,6,1,2,7
10066,1,3,7,8,5,6
10067,4,4,5,1,4,5
10068,3,3,1,6,4,6
10069,2,4,4,3,3,9
10070,5,3,6,2,6,10
10071,3,2,4,8,6,7
10072,2,1,7,5,2,10
10073,4,5,1,1,4,1
10074,4,1,3,4,3,9
10075,4,5,4,9,1,1
10076,5,3,1,10,5,4
10077,1,1,6,4,1,3
10078,2,4,7,5,3,2
10079,1,3,7,5,6,5
10080,5,4,1,6,1,3
10081,4,3,6,8,5,6
10082,4,5,7,1,3,2
10083,5,5,2,8,4,8
10084,5,5,7,5,3,3
10085,4,1,2,4,4,1
10086,3,1,3,7,2,9
10087,4,4,3,5,4,5
10088,3,3,6,3,2,8
10089,1,4,1,4,5,2
10090,4,4,2,10,3,10
10091,2,1,5,5,5,2
10092,1,3,7,7,4,9
10093,3,3,7,4,5,8
10094,1,2,3,6,1,8
10095,4,2,1,8,4,7
10096,2,4,3,6,3,8
10097,3,2,3,8,4,4
10098,3,1,5,4,5,7
10099,2,3,5,3,6,4
10100,2,2,7,7,1,7
10101,1,5,4,6,5,9
10102,1,2,2,1,1,6
10103,1,3,5,6,6,3
10104,5,5,3,3,5,4
10105,3,5,3,10,3,2
10106,4,1,7,1,1,1
10107,3,2,5,6,4,2
10108,4,2,4,10,3,6
10109,1,4,5,5,1,10
10110,1,5,6,3,1,7
10111,4,5,1,8,6,7
10112,3,3,3,10,6,4
10113,3,4,2,1,2,3
10114,4,5,7,3,1,6
10115,2,1,7,4,2,2
10116,4,1,2,8,5,10
10117,5,4,3,8,3,10
10118,5,5,3,2,3,9
10119,5,2,6,9,1,9
10120,1,5,4,1,1,5
10121,2,4,5,7,1,7
10122,2,1,1,4,6,1
10123,2,2,2,4,4,10
10124,3,1,7,8,4,1
10125,5,3,4,8,6,6
10126,4,3,4,8,5,3
10127,3,1,2,10,3,8
10128,2,1,7,1,1,6
10129,5,5,4,10,2,8
10130,5,2,5,5,6,4
10131,3,1,6,3,1,9
10132,3,2,4,4,3,10
10133,4,5,1,2,5,8
10134,4,2,6,5,2,1
10135,3,1,7,9,6,2
10136,4,1,2,1,5,4
10137,5,5,7,9,4,7
10138,2,3,4,9,3,3
10139,5,4,6,1,5,2
10140,5,1,5,8,6,5
10141,5,4,4,8,2,5
10142,5,1,3,5,6,1
10143,3,5,2,1,5,2
10144,5,4,2,1,5,3
10145,4,3,1,10,6,2
10146,2,5,4,4,1,3
10147,4,1,2,9,6,1
10148,1,1,1,4,5,7
10149,1,4,6,2,3,10
10150,3,2,7,3,6,2
10151,1,1,4,9,4,1
10152,4,1,1,9,1,4
10153,4,3,7,6,3,7
10154,1,5,3,7,3,6
10155,4,5,3,7,1,7
10156,4,4,3,10,6,6
10157,4,3,2,6,2,10
10158,1,3,4,4,4,1
10159,1,5,3,10,1,4
10160,3,1,5,7,6,7
10161,2,2,3,10,2,8
10162,2,2,6,9,3,4
10163,2,3,6,2,2,8
10164,5,1,1,10,5,4
10165,1,3,6,8,2,3
10166,5,2,1,3,2,10
10167,1,5,6,1,1,6
10168,3,5,3,5,2,9
10169,5,5,5,6,3,8
10170,4,4,2,10,1,7
10171,5,4,3,10,2,5
10172,4,1,3,9,5,5
10173,5,5,1,3,5,1
10174,2,3,4,7,4,10
10175,5,1,4,8,4,5
10176,3,5,4,7,4,10
10177,3,2,6,5,1,4
10178,1,4,7,6,4,10
10179,3,5,3,7,1,1
10180,2,4,4,9,4,10
10181,4,4,2,8,3,10
10182,3,2,5,1,4,1
10183,2,4,5,5,6,1
10184,4,5,1,1,5,7
10185,3,5,6,6,5,10
10186,2,2,4,3,5,9
10187,1,5,7,2,2,2
10188,3,2,3,4,2,8
10189,3,1,2,5,6,3
10190,3,5,4,7,1,5
10191,5,3,1,9,5,7
10192,1,4,4,6,1,10
10193,4,4,5,3,4,9
10194,4,4,4,6,1,6
10195,4,4,4,2,2,4
10196,4,2,7,2,3,6
10197,5,1,3,10,5,3
10198,5,4,5,7,6,3
10199,4,4,4,1,4,1
10200,1,4,5,10,1,6
10201,4,4,5,9,3,9
10202,5,5,4,7,4,8
10203,2,4,1,9,4,3
10204,3,2,6,8,2,7
10205,4,1,6,4,1,7
10206,5,5,5,9,1,10
10207,3,4,3,8,6,6
10208,2,4,7,2,5,2
10209,3,2,4,8,4,9
10210,3,5,6,5,6,5
10211,2,2,2,5,2,9
10212,1,4,4,3,3,9
10213,3,3,3,9,5,1
10214,2,5,3,5,3,10
10215,2,1,3,3,2,1
10216,1,1,4,7,1,7
10217,4,2,1,8,2,10
10218,1,5,2,10,2,4
10219,5,5,6,10,5,6
10220,3,2,1,1,2,9
10221,5,2,2,5,2,7
10222,2,1,3,8,6,9
10223,3,4,3,2,6,1
10224,5,5,2,1,1,3
10225,5,4,4,9,6,6
10226,4,3,2,5,2,3
10227,3,1,5,9,2,3
10228,2,1,1,4,4,9
10229,1,1,1,1,5,2
10230,1,5,7,1,2,3
10231,5,3,4,5,4,5
10232,2,4,5,7,6,1
10233,2,3,6,8,5,3
10234,4,2,3,2,4,5
10235,3,3,5,8,3,8
10236,1,5,5,4,1,4
10237,5,5,2,1,4,4
10238,4,5,4,4,6,6
10239,1,5,2,3,3,10
10240,4,5,6,3,6,3
10241,1,4,6,9,5,3
10242,5,2,4,7,5,5
10243,3,5,6,10,4,4
10244,2,2,4,1,3,1
10245,1,3,3,10,5,7
10246,2,5,7,2,6,10
10247,1,2,2,3,3,6
10248,2,5,1,7,1,4
10249,4,1,2,8,6,10
10250,1,5,2,3,3,5
10251,5,2,4,3,1,5
10252,2,2,1,10,1,2
10253,4,1,5,8,6,3
10254,5,1,1,3,6,6
10255,3,2,1,4,6,6
10256,4,5,2,4,3,10
10257,4,5,5,4,3,9
10258,2,2,2,8,4,10
10259,2,1,7,6,2,9
10260,4,5,3,8,4,3
10261,4,2,1,8,2,7
10262,1,2,6,2,5,7
10263,4,5,1,2,3,6
10264,4,3,2,5,1,2
10265,2,1,3,7,6,2
10266,2,2,6,5,6,7
10267,3,3,7,1,6,8
10268,4,5,4,9,4,4
10269,4,4,1,7,5,8
10270,2,4,1,8,3,10
10271,2,3,6,1,6,1
10272,3,3,1,4,5,3
10273,3,3,2,6,5,9
10274,5,2,7,6,1,1
10275,1,1,7,6,1,9
10276,2,5,5,10,5,1
10277,2,2,4,9,4,10
10278,5,3,1,5,6,2
10279,3,3,1,9,2,4
10280,2,1,5,6,5,2
10281,2,4,1,6,4,1
10282,4,5,4,4,4,9
10283,2,5,5,2,6,1
10284,1,2,5,8,3,10
10285,2,4,5,1,5,9
10286,3,3,4,9,1,3
10287,5,5,3,2,2,7
10288,2,5,6,7,2,6
10289,5,3,3,3,6,4
10290,4,3,7,10,3,5
10291,4,5,2,4,3,6
10292,2,2,2,5,1,9
10293,5,5,3,9,2,6
10294,2,5,4,10,6,5
10295,2,5,4,4,3,10
10296,3,1,4,9,6,5
10297,5,2,6,3,3,2
10298,4,5,2,6,3,8
10299,2,1,5,8,4,5
10300,3,4,2,4,5,5
10301,1,2,6,4,5,7
10302,5,3,3,1,2,4
10303,1,2,2,5,1,3
10304,3,3,7,3,2,10
10305,1,3,6,10,5,3
10306,2,5,6,3,3,2
10307,2,1,7,2,5,9
10308,4,2,3,6,5,5
10309,4,4,6,9,6,8
10310,5,4,4,7,6,2
10311,3,4,4,4,5,3
10312,4,1,7,4,3,2
10313,2,4,6,7,4,3
10314,3,3,7,6,5,6
10315,3,3,4,1,4,8
10316,4,3,2,6,1,4
10317,2,1,3,3,2,2
10318,3,2,1,5,2,4
10319,5,4,6,4,3,6
10320,2,3,3,1,1,9
10321,2,1,2,8,3,5
10322,5,5,4,9,6,6
10323,5,4,7,8,4,8
10324,3,5,2,4,6,6
10325,4,3,4,6,1,4
10326,5,5,4,3,2,1
10327,1,3,5,4,6,5
10328,1,1,3,1,4,2
10329,4,4,4,2,4,9
10330,1,3,6,3,5,9
10331,1,2,3,3,3,9
10332,1,3,4,4,2,5
10333,4,4,3,9,3,10
10334,3,5,3,7,1,10
10335,2,3,1,3,5,9
10336,3,4,6,6,3,5
10337,4,2,6,6,6,5
10338,1,3,3,10,6,10
10339,1,5,4,1,3,9
10340,1,1,7,9,4,7
10341,5,2,6,8,6,3
10342,3,3,7,7,4,4
10343,2,4,4,3,5,7
10344,3,1,3,2,2,2
10345,5,4,6,8,5,2
10346,4,1,2,10,3,1
10347,5,3,6,2,5,1
10348,1,4,2,9,1,5
10349,3,5,4,8,2,2
10350,1,5,3,6,1,7
10351,4,4,7,6,6,5
10352,5,1,6,8,2,5
10353,2,3,7,2,1,6
10354,1,2,7,2,3,9
10355,4,3,6,8,5,8
10356,1,3,2,7,5,1
10357,1,4,2,1,2,7
10358,1,1,5,9,6,6
10359,2,4,7,2,5,3
10360,2,5,7,10,3,4
10361,1,1,5,3,2,1
10362,3,4,1,2,6,4
10363,4,1,3,3,3,4
10364,1,3,5,5,3,4
10365,1,2,2,8,6,2
10366,2,5,1,9,4,8
10367,3,5,2,4,2,4
10368,2,1,6,9,4,7
10369,5,4,2,5,6,10
10370,4,2,7,9,6,7
10371,1,2,6,4,1,8
10372,2,1,5,4,3,8
10373,4,5,1,8,3,4
10374,1,2,1,8,6,2
10375,5,2,5,5,6,10
10376,4,1,3,1,4,8
10377,3,3,7,9,3,8
10378,5,3,7,3,2,7
10379,3,3,2,1,3,2
10380,4,4,7,5,5,2
10381,5,4,2,1,4,8
10382,4,4,6,4,2,8
10383,5,5,4,1,6,5
10384,4,4,5,5,1,2
10385,5,4,6,5,5,7
10386,4,3,6,9,5,5
10387,1,3,5,7,1,3
10388,2,2,6,3,6,6
10389,4,4,5,8,2,4
10390,1,4,2,10,4,3
10391,3,4,4,8,6,6
10392,5,4,1,8,4,2
10393,5,5,5,9,1,4
10394,1,1,4,4,4,2
10395,5,5,6,9,4,5
10396,1,1,5,8,3,1
10397,2,2,4,6,1,6
10398,2,4,7,3,6,1
10399,4,4,1,4,2,5
10400,4,2,3,1,2,5
10401,3,2,1,7,5,9
10402,2,1,4,7,1,10
10403,3,1,3,8,3,1
10404,2,2,4,10,4,9
10405,2,5,5,8,2,8
10406,4,3,5,9,1,10
10407,5,5,7,2,5,3
10408,4,4,5,7,4,10
10409,5,5,2,3,1,4
10410,2,3,5,5,2,8
10411,3,4,2,7,5,2
10412,5,2,7,6,6,9
10413,1,5,1,9,1,8
10414,2,1,3,2,2,5
10415,1,5,6,9,1,10
10416,2,3,2,8,6,9
10417,3,3,7,4,4,6
10418,2,5,6,6,6,6
10419,5,3,6,10,1,3
10420,1,3,5,3,4,7
10421,1,5,6,1,5,7
10422,3,2,3,5,5,3
10423,4,2,3,8,2,3
10424,2,3,1,5,2,7
10425,5,1,1,10,1,9
10426,2,3,5,3,3,6
10427,5,4,4,2,3,9
10428,1,3,7,1,2,5
10429,5,2,2,2,6,9
10430,5,2,2,2,6,8
10431,1,5,1,10,4,8
10432,2,5,1,2,3,10
10433,5,2,2,1,1,1
10434,4,3,7,4,6,4
10435,3,4,7,5,3,4
10436,1,3,7,3,5,2
10437,2,5,1,8,3,9
10438,3,5,5,8,2,6
10439,4,5,1,4,6,8
10440,4,4,7,3,2,9
10441,4,1,4,7,5,6
10442,2,4,2,7,5,1
10443,5,3,7,7,6,4
10444,5,3,6,5,3,3
10445,1,4,4,9,6,6
10446,1,5,6,3,2,9
10447,1,3,6,3,5,2
10448,5,2,7,6,6,1
10449,1,5,4,6,3,2
10450,3,4,5,10,5,1
10451,1,1,6,10,6,6
10452,3,2,6,5,2,9
10453,5,1,3,8,3,6
10454,3,4,4,8,5,2
10455,5,4,6,1,4,7
10456,3,3,7,6,6,5
10457,5,1,4,10,5,6
10458,4,1,3,3,2,6
10459,1,2,3,5,2,6
10460,3,5,1,5,5,6
10461,5,5,5,5,3,7
10462,5,4,7,10,5,3
10463,1,1,6,10,2,7
10464,5,2,6,1,3,6
10465,1,2,2,4,1,5
10466,3,5,3,1,6,10
10467,3,1,6,10,2,1
10468,2,1,6,7,4,7
10469,2,4,6,6,5,8
10470,2,4,5,3,2,7
10471,2,5,2,6,5,3
10472,3,2,2,6,1,3
10473,2,4,2,8,5,2
10474,4,4,2,5,5,5
10475,4,5,4,6,5,4
10476,1,3,1,9,3,10
10477,1,1,4,9,5,6
10478,3,4,7,9,3,3
10479,4,3,2,8,6,2
10480,2,2,1,1,1,7
10481,3,4,6,1,5,5
10482,5,2,1,7,1,6
10483,3,5,7,6,5,9
10484,5,4,6,6,2,7
10485,3,1,7,10,4,1
10486,1,3,7,8,1,4
10487,4,3,4,10,5,5
10488,1,2,3,3,2,8
10489,3,1,1,3,5,3
10490,1,5,4,6,2,8
10491,4,2,4,7,2,8
10492,5,2,5,6,1,10
10493,1,1,1,10,2,2
10494,1,2,1,7,1,2
10495,1,2,6,3,4,10
10496,2,4,6,8,5,2
10497,4,5,2,1,6,8
10498,1,1,7,10,5,3
10499,4,1,1,2,5,9
10500,3,1,3,3,5,7
10501,3,4,5,1,6,6
10502,1,2,5,5,1,10
10503,4,1,1,9,6,2
10504,2,4,7,3,1,1
10505,4,5,4,7,1,8
10506,3,5,7,3,2,1
10507,2,1,7,3,2,5
10508,2,1,5,10,2,8
10509,5,1,3,10,1,5
10510,1,1,4,4,2,10
10511,4,5,4,6,2,8
10512,1,4,6,7,4,10
10513,2,3,3,1,1,3
10514,2,2,1,1,1,6
10515,5,4,4,7,5,8
10516,1,2,2,6,4,2
10517,2,1,3,3,1,9
10518,4,1,3,3,4,8
10519,2,4,1,2,4,3
10520,5,3,1,5,1,1
10521,3,3,1,6,3,5
10522,5,4,3,1,4,9
10523,5,5,5,9,6,8
10524,4,5,3,1,5,6
10525,1,5,6,6,1,5
10526,2,4,4,3,3,5
10527,3,5,2,2,3,2
10528,4,1,6,4,2,1
10529,3,3,4,7,1,5
10530,4,4,7,2,4,7
10531,2,1,7,9,4,10
10532,4,4,2,2,4,7
10533,5,4,1,1,1,7
10534,1,5,5,9,5,7
10535,1,4,7,8,6,7
10536,3,3,4,2,5,1
10537,5,5,6,4,5,7
10538,4,1,4,3,5,7
10539,5,1,3,1,1,1
10540,1,3,6,3,6,6
10541,5,1,3,6,2,8
10542,3,5,4,5,5,10
10543,1,2,2,6,6,9
10544,3,5,1,4,2,7
10545,2,3,4,2,3,3
10546,1,5,4,2,6,9
10547,5,4,6,9,6,7
10548,1,4,3,5,5,1
10549,1,2,2,2,4,7
10550,5,3,6,3,1,3
10551,1,3,6,4,1,10
10552,5,3,6,10,5,6
10553,3,4,4,6,6,9
10554,3,1,2,2,2,10
10555,5,5,1,4,3,2
10556,5,2,3,8,4,8
10557,3,4,1,3,4,10
10558,5,2,2,8,1,9
10559,4,1,7,10,6,10
10560,5,2,4,3,5,10
10561,5,1,7,9,3,9
10562,5,4,3,6,3,8
10563,4,5,7,2,1,3
10564,1,2,6,1,3,7
10565,3,5,3,2,5,4
10566,3,5,5,8,3,4
10567,2,2,7,4,5,10
10568,2,4,2,5,4,8
10569,2,5,2,7,4,6
10570,4,1,7,1,3,4
10571,4,5,6,9,3,1
10572,3,1,2,2,6,7
10573,3,5,3,8,1,7
10574,2,4,4,7,2,5
10575,4,4,2,5,2,8
10576,5,1,2,2,2,10
10577,2,2,4,9,5,8
10578,5,4,2,2,6,7
10579,1,1,3,3,6,6
10580,1,5,2,9,6,5
10581,1,5,7,7,6,2
10582,5,5,3,5,4,5
10583,1,1,2,9,1,3
10584,1,4,4,6,1,4
10585,4,4,1,10,6,2
10586,3,3,6,1,6,10
10587,2,3,2,8,3,4
10588,2,3,3,6,1,6
10589,2,4,4,5,2,1
10590,2,5,6,7,3,6
10591,5,5,6,6,5,5
10592,5,3,5,8,3,4
10593,3,5,3,8,2,2
10594,3,1,6,2,6,10
10595,2,2,5,9,4,5
10596,3,4,4,9,5,10
10597,3,4,1,7,5,1
10598,3,4,3,6,5,3
10599,2,2,5,6,5,1
10600,5,1,2,9,1,5
10601,3,5,3,5,1,4
10602,2,1,2,1,6,10
10603,2,5,7,1,4,8
10604,3,3,4,10,4,5
10605,3,4,4,4,1,2
10606,1,5,3,8,2,1
10607,3,4,4,1,4,9
10608,2,4,6,6,2,3
10609,4,5,5,1,6,8
10610,5,4,1,3,2,10
10611,4,4,7,3,1,8
10612,4,1,2,2,1,8
10613,4,4,3,3,4,1
10614,5,1,5,2,1,5
10615,2,2,6,1,3,8
10616,1,1,7,4,2,2
10617,4,5,2,1,2,3
10618,5,2,3,5,2,1
10619,1,1,4,4,5,4
10620,4,5,7,2,5,9
10621,4,1,4,7,5,1
10622,4,1,3,6,6,9
10623,2,5,3,6,5,1
10624,5,5,5,10,5,10
10625,1,3,4,5,3,9
10626,5,1,2,6,4,5
10627,5,2,3,5,3,5
10628,5,2,5,6,2,9
10629,3,3,4,8,5,6
10630,5,4,3,5,2,3
10631,1,1,6,4,3,4
10632,5,3,1,6,6,7
10633,3,5,3,6,6,1
10634,2,3,4,6,2,4
10635,3,3,3,7,6,5
10636,2,1,4,10,6,1
10637,2,4,3,8,2,5
10638,5,4,1,3,5,6
10639,1,5,3,3,5,8
10640,2,1,2,6,3,10
10641,3,2,5,10,6,7
10642,1,5,1,6,2,2
10643,1,4,5,1,2,8
10644,2,1,4,10,1,9
10645,5,5,5,3,6,1
10646,2,3,1,6,5,10
10647,4,1,1,6,4,7
10648,4,5,1,3,5,10
10649,4,5,2,9,6,9
10650,4,3,1,10,4,5
10651,1,1,1,8,3,3
10652,5,1,3,9,1,1
10653,2,1,6,2,2,4
10654,2,1,7,7,1,6
10655,4,3,7,9,4,1
10656,3,3,1,4,6,10
10657,4,4,4,8,3,2
10658,3,4,7,6,6,5
10659,3,4,4,7,6,6
10660,2,3,6,5,5,10
10661,4,1,2,9,1,7
10662,2,4,6,2,1,4
10663,1,4,7,1,4,4
10664,1,5,2,3,3,2
10665,1,4,6,7,6,3
10666,5,3,1,10,2,10
10667,5,4,3,9,6,6
10668,3,2,5,7,6,7
10669,2,5,2,9,6,1
10670,5,2,6,6,2,5
10671,1,5,4,4,5,6
10672,2,2,4,2,6,4
10673,2,2,1,2,2,4
10674,5,4,2,4,3,9
10675,5,3,4,7,1,10
10676,1,4,5,3,4,8
10677,5,4,7,4,6,6
10678,2,1,7,2,1,2
10679,4,4,3,6,1,9
10680,5,5,2,1,3,5
10681,4,2,3,4,4,10
10682,4,2,5,2,3,7
10683,3,4,4,9,2,2
10684,3,3,4,7,6,4
10685,3,1,6,10,1,5
10686,3,4,2,1,1,2
10687,4,3,7,4,3,3
10688,5,2,4,7,4,7
10689,5,5,4,4,2,10
10690,1,3,7,3,2,1
10691,1,3,3,2,1,3
10692,2,3,4,3,2,3
10693,2,3,3,10,5,9
10694,4,3,3,8,5,3
10695,2,3,3,6,4,7
10696,2,4,1,6,6,9
10697,2,4,3,4,1,10
10698,4,3,5,6,4,5
10699,2,4,5,2,5,2
10700,2,1,6,10,6,8
10701,1,3,4,2,6,10
10702,1,4,3,3,2,8
10703,5,2,6,7,1,8
10704,2,4,2,5,2,3
10705,3,5,3,10,5,1
10706,5,1,3,3,5,7
10707,5,1,1,2,3,6
10708,4,4,5,7,4,1
10709,4,2,7,2,2,8
10710,4,3,1,9,6,5
10711,3,2,6,5,4,4
10712,3,4,7,6,4,8
10713,5,1,2,6,6,9
10714,2,1,4,2,6,9
10715,1,2,1,5,2,2
10716,3,2,4,10,2,9
10717,4,4,6,7,3,1
10718,2,5,3,7,5,7
10719,4,4,4,1,4,6
10720,4,4,2,4,5,1
10721,4,5,1,8,2,5
10722,3,2,5,1,1,2
10723,2,3,2,3,5,2
10724,1,1,2,9,6,2
10725,4,3,1,9,2,4
10726,5,4,2,4,2,6
10727,4,2,3,5,1,5
10728,1,4,4,5,2,2
10729,5,4,7,3,1,3
10730,5,4,1,2,5,5
10731,3,5,6,5,4,10
10732,1,4,3,3,6,10
10733,1,1,3,6,4,10
10734,5,3,2,6,2,7
10735,3,2,7,6,3,1
10736,5,3,4,9,5,5
10737,4,1,2,5,6,6
